ligand,affinity,ligand,
1766,-7.9,individual_ligand_1766,"Caohuoside B, 8-Prenylkaempferol 4'-methyl ether 3""- [ 4""',6""'-diacetylglucosyl- (1->3) -4""-acetylrhamnoside ] -7-glucoside"
1782,-7.9,individual_ligand_1782,Casticin 3'-glucoside
1784,-7.9,individual_ligand_1784,Castillene A
1820,-7.9,individual_ligand_1820,Chalconaringenin 2'-O-glucoside 4'-O-gentobioside
1833,-7.9,individual_ligand_1833,Chlorflavonin
1841,-7.9,individual_ligand_1841,Chrysin 7-glucuronide
1851,-7.9,individual_ligand_1851,"Chrysoeriol 7- (3"",6""-di- (E) -p-coumaroylglucoside)"
1860,-7.9,individual_ligand_1860,Chrysosplenol G
1876,-7.9,individual_ligand_1876,Citrusinol
1034,-7.8,individual_ligand_1034,6-Methoxyaromadendrin 3-O-acetate
1082,-7.8,individual_ligand_1082,"6,8-Di-C-glucopyranosyldiosmetin"
108,-7.8,individual_ligand_108,2-Prenyl-6a-hydroxyphaseollidin
1098,-7.8,individual_ligand_1098,"6'-Hydroxy-2,3,4,5,2',3',4'-heptamethoxychalcone"
1099,-7.8,individual_ligand_1099,"6'-Hydroxy-3,4,2',3',4'-pentamethoxychalcone"
1100,-7.8,individual_ligand_1100,"6'-Hydroxy-4,2',3',4'-tetramethoxychalcone"
1106,-7.8,individual_ligand_1106,"6"",6""-Dimethylpyrano [ 2"",3"":6',5' ] -2'-hydroxy-3,4,4'-trimethoxychalcone"
1149,-7.8,individual_ligand_1149,"7-Methoxy-5,6:3',4'-bis (methylenedioxy) flavone"
1165,-7.8,individual_ligand_1165,7-O-Prenylpinocembrin
1170,-7.8,individual_ligand_1170,"7,2'-Dihydroxy-3',4'-dimethoxyisoflavone 7-O-glucoside"
1178,-7.8,individual_ligand_1178,"7,2'-Dihydroxy-8,4'-dimethoxyisoflav-3-ene"
1181,-7.8,individual_ligand_1181,"7,2',4'-Trihydroxy-3'-methoxyisoflavone"
118,-7.8,individual_ligand_118,"2,3,4,2',4',6'-Hexamethoxychalcone"
1198,-7.8,individual_ligand_1198,"7,4'-Di-O-methyldaidzein"
1264,-7.8,individual_ligand_1264,8-Hydroxyapigenin 7-glucosyl- (1->2) -xyloside
1275,-7.8,individual_ligand_1275,"8-Hydroxygalangin 7-methyl ether, 3,5,8-Trihydroxy-7-methoxyflavone"
1282,-7.8,individual_ligand_1282,8-Hydroxyluteolin 4'-methyl ether 8-glucoside-3'-sulfate
12,-7.8,individual_ligand_12,(-) -Mucronulatol
1317,-7.8,individual_ligand_1317,"Abrusin, 8-C-Glucosyl-6,7-di-O-methyl-scutellarein"
1318,-7.8,individual_ligand_1318,"Abyssinin I, Abyssinoflavanone I"
1319,-7.8,individual_ligand_1319,"Abyssinin II, Abyssinoflavanone II, 5'-Prenylhomoeriodictyol"
1335,-7.8,individual_ligand_1335,"Acacetin 7- [ 3""'- (2-methylbutyryl) rutinoside ]"
134,-7.8,individual_ligand_134,2'-beta-Dihydroxychalcone
13,-7.8,individual_ligand_13,(-) -Nissolin
1460,-7.8,individual_ligand_1460,"Anhydroicaritin 3,7-diglucoside"
1467,-7.8,individual_ligand_1467,Antiarone D
1469,-7.8,individual_ligand_1469,Antiarone J
1477,-7.8,individual_ligand_1477,Apigenin 4'-glucoside
1502,-7.8,individual_ligand_1502,"Apigenin 7- (6""-crotonylglucoside)"
1536,-7.8,individual_ligand_1536,Apigenin 7-rutinoside
1538,-7.8,individual_ligand_1538,"Apigenin 7-sophorotrioside, 5,7,4'-Trihydroxyflavone 7-sophorotrioside"
1541,-7.8,individual_ligand_1541,Apigenin 7-xylosyl- (1->2) -glucoside
1555,-7.8,individual_ligand_1555,"Araneol, 5,7-Dihydroxy-3,6,8-trimethoxyflavone"
1573,-7.8,individual_ligand_1573,Aromadendrin 7-rhamnosyl- (1->4) -galactoside
1627,-7.8,individual_ligand_1627,Auriculatin
1629,-7.8,individual_ligand_1629,Auriculoside
1636,-7.8,individual_ligand_1636,Baicalein 6-methyl ether 7-glucoside
1644,-7.8,individual_ligand_1644,"Barbigerone, Ionchocarpusone, Lonchocarpusone, 8,8-Dimethyl-3- (2,4,5-trimethoxyphenyl) -4H,8H-benzo [1,2-b:3,4-b'] dipyran-4-one"
1654,-7.8,individual_ligand_1654,Bavachromanol
1658,-7.8,individual_ligand_1658,Bayin
1729,-7.8,individual_ligand_1729,"Callistephin, Pelargonidin 3-glucoside, Pelargonidin 3-O-beta-D-glucopyranoside"
1737,-7.8,individual_ligand_1737,Calomelanol D-1
1760,-7.8,individual_ligand_1760,Candidol 3-glucoside
1762,-7.8,individual_ligand_1762,Canescacarpin
1781,-7.8,individual_ligand_1781,"Castanin, Afromosin, Afrormosin"
1783,-7.8,individual_ligand_1783,"Casticin, Vitexicarpin, Quercetagetin 3,6,7,4'-tetramethyl ether, 3',5-Dihydroxy-3,4',6,7-tetramethoxyflavone, 3,6,7,4'-Tetra-O-methyl-5,3'-dihydroxyflavone"
178,-7.8,individual_ligand_178,"2',4'-Dihydroxy-3,4-methylenedioxydihydrochalcone"
1796,-7.8,individual_ligand_1796,"Catechin 5,7,3'-trimethyl ether"
1826,-7.8,individual_ligand_1826,Chalconaringenin 4'-glucoside
1857,-7.8,individual_ligand_1857,"Chrysosplenol C 6,4'-diglucoside"
1008,-7.7,individual_ligand_1008,"6-Hydroxykaempferol 3,6,7-triglucoside"
1061,-7.7,individual_ligand_1061,"6,2'4'-Trihydroxy-2-phenylbenzofuran"
1078,-7.7,individual_ligand_1078,"6,7,3',4',5'-Pentamethoxyisoflavone"
1084,-7.7,individual_ligand_1084,"6,8-Di-C-glucopyranosylnaringenin"
1087,-7.7,individual_ligand_1087,"6,8-Di-C-methylkaempferol 3,7-dimethyl ether"
1089,-7.7,individual_ligand_1089,"6,8-Di-C-methylmyricetin 3,4'-dimethyl ether"
1093,-7.7,individual_ligand_1093,"6,8-Dimethoxy-2,3-trans-2- (4-hydroxy-2,3-dimethoxyphenyl) -9- (5-hydroxy-2-methoxyphenyl) -3-hydroxymethyl-2,3-dihydro-7H-1,4-dioxono [ 2,3-h ] chromene-7-one"
1115,-7.7,individual_ligand_1115,"6a,7-Dihydroxymedicarpin"
1116,-7.7,individual_ligand_1116,7-Acetyloxy-2-methylisoflavone
1120,-7.7,individual_ligand_1120,"7-Hydroxy-2',4',5'-trimethoxyisoflavone 7-O-glucoside"
1168,-7.7,individual_ligand_1168,7-Prenyloxy-8-C- (3-hydroxy-3-methyl-trans-buten-1-yl) flavanone
1179,-7.7,individual_ligand_1179,"7,2'-Dihydroxyflavone 7-glucoside"
120,-7.7,individual_ligand_120,"2,3,4,5,2',6'-Hexamethoxy-3',4'-methylenedioxychalcone"
1215,-7.7,individual_ligand_1215,"7,4'-Dihydroxyflavone 7-rutinoside"
1244,-7.7,individual_ligand_1244,"8-C-Methylquercetagetin 3,6,7,3'-tetramethyl ether"
1256,-7.7,individual_ligand_1256,8-Demethylsideroxylin
1290,-7.7,individual_ligand_1290,8-O-Methylretusin 7-O-glucoside
1292,-7.7,individual_ligand_1292,"8-p-Coumaroyl-3,4-dihydro-5,7-dihydroxy-4-phenylcoumarin"
1348,-7.7,individual_ligand_1348,Acacetin 7-rutinoside
1357,-7.7,individual_ligand_1357,Adunctin C
1390,-7.7,individual_ligand_1390,Agestricin B
1439,-7.7,individual_ligand_1439,Amorpholone
1449,-7.7,individual_ligand_1449,Angophorol
1471,-7.7,individual_ligand_1471,Apetalolide
14,-7.7,individual_ligand_14,(-) -Phaseollidin
1514,-7.7,individual_ligand_1514,"Apigenin 7-cellobioside, 5,7,4'-Trihydroxyflavone 7-cellobioside"
1534,-7.7,individual_ligand_1534,Apigenin 7-rhamnosyl- (1->2) -galacturonide
1548,-7.7,individual_ligand_1548,Apigeninidin 7-glucoside
1550,-7.7,individual_ligand_1550,"Apimaysin, 3'-Deoxymaysin, 2,6-Anhydro-1-deoxy-5-O- (6-deoxy-alpha-L-mannopyranosyl) -6-C- [ 5,7-dihydroxy-2- (4-hydroxyphenyl) -4-oxo-4H-1-benzopyran-6-yl ] -xylo-3-hexulose"
1564,-7.7,individual_ligand_1564,Aromadendrin 4'-glucoside
1570,-7.7,individual_ligand_1570,Aromadendrin 7-methyl ether
1574,-7.7,individual_ligand_1574,"Aromadendrin 7,4'-dimethyl ether"
158,-7.7,individual_ligand_158,2'-Hydroxydihydrodaidzein
1632,-7.7,individual_ligand_1632,"Ayanin, 3,7,4'-Tri-O-methylquercetin, 5,3'-Dihydroxy-3,7,4'-trimethoxyflavone"
1638,-7.7,individual_ligand_1638,Baicalein 6-methyl ether 7-glucuronide
1657,-7.7,individual_ligand_1657,Bavacoumestan B
1694,-7.7,individual_ligand_1694,Brosimacutin E
1695,-7.7,individual_ligand_1695,Brosimacutin F
1734,-7.7,individual_ligand_1734,Calomelanol B
1756,-7.7,individual_ligand_1756,Camelliaside A
1757,-7.7,individual_ligand_1757,Camelliaside B
1764,-7.7,individual_ligand_1764,Cannflavin A
1779,-7.7,individual_ligand_1779,Cassiaoccidentalin A
177,-7.7,individual_ligand_177,"2',4'-Dihydroxy-3,4-dimethoxychalcone"
1787,-7.7,individual_ligand_1787,Castillene D
1799,-7.7,individual_ligand_1799,"Catechin 7,4'-dimethyl ether"
1806,-7.7,individual_ligand_1806,Cedreprenone
183,-7.7,individual_ligand_183,"2',4'-Dihydroxy-3',6"",6""-trimethylpyrano [ 2"",3"":6',5' ] chalcone"
184,-7.7,individual_ligand_184,"2',4'-Dihydroxy-4,6'-dimethoxychalcone"
1858,-7.7,individual_ligand_1858,Chrysosplenol E
1867,-7.7,individual_ligand_1867,Ciliatin A
1879,-7.7,individual_ligand_1879,Cladrastin 7-O-laminaribioside
1886,-7.7,individual_ligand_1886,Clitorin
1001,-7.6,individual_ligand_1001,"6-HYDROXYFLAVONE, NSC-26744"
1003,-7.6,individual_ligand_1003,6-Hydroxykaempferol 3-rutinoside-6-glucoside
1023,-7.6,individual_ligand_1023,"6-Hydroxyluteolin 6,7-dimethyl ether 4'-glucoside"
1051,-7.6,individual_ligand_1051,6-Methoxypterocarpin
1057,-7.6,individual_ligand_1057,6-Prenylisocaviunin
1058,-7.6,individual_ligand_1058,"6-Prenylnaringenin, (S) -2,3-Dihydro-4',5,7-trihydroxy-6- (3-methyl-2-butenyl) flavone"
1062,-7.6,individual_ligand_1062,"6,3'-Dihydroxy-4,4'-dimethoxy-5-methylaurone"
1091,-7.6,individual_ligand_1091,"6,8-Di-C-rhamnosylapigenin"
1112,-7.6,individual_ligand_1112,6a-Hydroxyisomedicarpin
1123,-7.6,individual_ligand_1123,"7-Hydroxy-3,5,6,8,3',4'-hexamethoxyflavone"
1141,-7.6,individual_ligand_1141,"7-Hydroxy-6,8-di-C-methylflavanone 7-O-arabinoside"
1155,-7.6,individual_ligand_1155,"7-O-Methylacacetin, Acacetin 7-methyl ether, Genkwanin 4'-methyl ether, Apigenin 7,4'-dimethyl ether, 5-Hydroxy-4',7-dimethoxyflavone"
1160,-7.6,individual_ligand_1160,7-O-Methyltectorigenin
1186,-7.6,individual_ligand_1186,"7,3'-Di-O-methylisoorientin, Isoorientin 7,3'-dimethyl ether"
1209,-7.6,individual_ligand_1209,"7,4'-Dihydroxy-6,8-di-C-prenylflavanone"
1236,-7.6,individual_ligand_1236,8-C-Glucosyl-5-deoxykaempferol
1237,-7.6,individual_ligand_1237,8-C-Glucosyldihydrokaempferol
1247,-7.6,individual_ligand_1247,"8-C-Methylvelloquercetin 3,5,3'-trimethyl ether"
1248,-7.6,individual_ligand_1248,8-C-p-Hydroxybenzylkaempferol
1250,-7.6,individual_ligand_1250,8-C-Rhamnosylgenkwanin
1254,-7.6,individual_ligand_1254,"8-Demethyleucalyptin, 8-Desmethyleucalyptin, 5-Hydroxy-7,4'-dimethoxy-6-methylflavone"
1257,-7.6,individual_ligand_1257,8-Desmethylkalmiatin
1303,-7.6,individual_ligand_1303,"8,3'-Dihydroxy-5,6,7,4'-tetramethoxyflavone"
1316,-7.6,individual_ligand_1316,"Abrusin 2""-O-beta-apiofuranoside"
133,-7.6,individual_ligand_133,"2,8-Dihydroxy-3,9,10-trimethoxypterocarpan"
1349,-7.6,individual_ligand_1349,"ACACETIN, NSC-76061"
1350,-7.6,individual_ligand_1350,"Acerosin, 3',5,7-Trihydroxy-4',6,8-trimethoxyflavone"
1393,-7.6,individual_ligand_1393,Agrandol
1415,-7.6,individual_ligand_1415,Altisin
1433,-7.6,individual_ligand_1433,Amorphigenin O-glucoside
1437,-7.6,individual_ligand_1437,"Amorphin, Fruticin, Frutitsin, Amorphigenin O-vicianoside"
1459,-7.6,individual_ligand_1459,Anhydroicaritin 3-rhamnosyl- (1->2) -rhamnoside
1463,-7.6,individual_ligand_1463,Anhydrovariabilin
1474,-7.6,individual_ligand_1474,Apigeniflavan 5-O-xyloside
1495,-7.6,individual_ligand_1495,"Apigenin 7- (3"",6""-Di-E-p-coumaroylgalactoside)"
1509,-7.6,individual_ligand_1509,Apigenin 7-allosyl- (1->2) -glucoside
1511,-7.6,individual_ligand_1511,Apigenin 7-alpha-L-arabinopyranosyl- (1->6) -glucoside
1519,-7.6,individual_ligand_1519,"Apigenin 7-glucuronide-4'- (6""-malonylglucoside)"
1532,-7.6,individual_ligand_1532,"Apigenin 7-rhamnoside-4'-glucosylrhamnoside, apigenin 7-O-alpha-L-rhamnoside-4'-O-alpha-L-glucosylrhamnoside"
1542,-7.6,individual_ligand_1542,"Apigenin 7,4'-dialloside"
1544,-7.6,individual_ligand_1544,"Apigenin 7,4'-diglucuronide"
1545,-7.6,individual_ligand_1545,"Apigenin 8-C- (6""-acetylgalactoside)"
1560,-7.6,individual_ligand_1560,Aromadendrin 3-beta-L-arabinopyranoside
1563,-7.6,individual_ligand_1563,Aromadendrin 3-rhamnoside-5-glucoside
1576,-7.6,individual_ligand_1576,"Artabotryside B, Kaempferol 3-rhamnosyl- (1->2) -alpha-L-arabinofuranoside"
1585,-7.6,individual_ligand_1585,Arthromerin A
1590,-7.6,individual_ligand_1590,"Artocarpin, 2',4',5-Trihydroxy-7-methoxy-6- (3-methyl-1-butenyl) -3- (3-methyl-2-butenyl) flavone"
1607,-7.6,individual_ligand_1607,Artonin N
1613,-7.6,individual_ligand_1613,Artonol E
1634,-7.6,individual_ligand_1634,Baicalein 6-glucoside
163,-7.6,individual_ligand_163,2'-Hydroxypiscerythrinetin
1647,-7.6,individual_ligand_1647,Bartericin A
1650,-7.6,individual_ligand_1650,Bartericin D
1656,-7.6,individual_ligand_1656,Bavacoumestan A
1707,-7.6,individual_ligand_1707,Broussoflavonol E
1719,-7.6,individual_ligand_1719,Burttinonedehydrate
1720,-7.6,individual_ligand_1720,"Butein 3,2'-diglucoside"
1753,-7.6,individual_ligand_1753,Calyxin G
1759,-7.6,individual_ligand_1759,Candidol
1798,-7.6,individual_ligand_1798,"Catechin 7,3'-di-O-beta-D-glucopyranoside"
1825,-7.6,individual_ligand_1825,Chalconaringenin 4-glucoside
1829,-7.6,individual_ligand_1829,Chamuvaritin
1835,-7.6,individual_ligand_1835,"chrysin 5,7-dimethyl ether"
1855,-7.6,individual_ligand_1855,"Chrysoeriol 7,4'-diglucuronide"
1883,-7.6,individual_ligand_1883,Clandestacarpin
1017,-7.5,individual_ligand_1017,"6-Hydroxyluteolin 6,3'-dimethyl eter 7-rutinoside"
1052,-7.5,individual_ligand_1052,6-Methoxypulcherrimin
1079,-7.5,individual_ligand_1079,"6,8-Di-C-arabinopyranosylapometzgerin"
1134,-7.5,individual_ligand_1134,"7-Hydroxy-5,6-dimethoxyflavone 7-glucoside"
113,-7.5,individual_ligand_113,"2,3-Dehydrokievitol"
1174,-7.5,individual_ligand_1174,"7,2'-Dihydroxy-5,8-dimethyl-4',5'-methylenedioxyflavan"
1201,-7.5,individual_ligand_1201,"7,4'-Dihydroxy-3,5,6,8-tetramethoxyflavone 4'-glucosyl- (1->3) -galactoside"
1212,-7.5,individual_ligand_1212,"7,4'-Dihydroxy-8,3'-dimethoxyflavanone"
1242,-7.5,individual_ligand_1242,8-C-Methylkaempferol 7-glucoside
1249,-7.5,individual_ligand_1249,"8-C-Prenyl-6"",6""-dimethylpyrano [ 2"",3"":7,6 ] flavanone"
1253,-7.5,individual_ligand_1253,"8-Cinnamoyl-3,4-dihydro-5,7-dihydroxy-4-phenylcoumarin"
1259,-7.5,individual_ligand_1259,"8-Hydroxy-3,5,7,3',4',5'-hexamethoxyflavone"
128,-7.5,individual_ligand_128,"2,5-Dihydroxy-7-methoxy-8-methylflavanone"
1304,-7.5,individual_ligand_1304,"8,3'-Dihydroxy-5,7,4'-trimethoxy-4-phenylcoumarin"
1306,-7.5,individual_ligand_1306,"8,3'-Dihydroxy-7,4',5'-trimethoxyflavone"
1353,-7.5,individual_ligand_1353,Acuminatoside
1354,-7.5,individual_ligand_1354,"Acutifolin A, (+) -Acutifolin A"
1389,-7.5,individual_ligand_1389,Agestricin A
1394,-7.5,individual_ligand_1394,"Alangiflavoside, Mauritianin 7-O-beta-D-glucopyranoside, Kaempferol 3-rhamnosyl- (1->2) [ rhamnosyl- (1->6) -galactoside ] -7-glucoside"
1418,-7.5,individual_ligand_1418,Amaronol B
1425,-7.5,individual_ligand_1425,Ambonone
1426,-7.5,individual_ligand_1426,Ammothamnidin
1454,-7.5,individual_ligand_1454,Angustone C
1455,-7.5,individual_ligand_1455,Anguvetin
1481,-7.5,individual_ligand_1481,Apigenin 5-glucoside
1516,-7.5,individual_ligand_1516,Apigenin 7-Glucosyl- (1->2) -glucuronide-4'-glucuronide
1565,-7.5,individual_ligand_1565,Aromadendrin 4'-methyl ether
1630,-7.5,individual_ligand_1630,Aurmillone
1643,-7.5,individual_ligand_1643,"Baphinitone, (-) -Homopterocarpin, 3,9-Dimethoxypterocarpan"
1721,-7.5,individual_ligand_1721,Butrin
1726,-7.5,individual_ligand_1726,Cajanin
1730,-7.5,individual_ligand_1730,Callunin
1743,-7.5,individual_ligand_1743,Calophyllic acid
1763,-7.5,individual_ligand_1763,Cannabin
1771,-7.5,individual_ligand_1771,"Capilliposide II, Kaempferol 3-rhamnosyl- (1->2) - [ glucosyl- (1->3) - (4""'-p-coumaroylrhamnosyl) - (1->6) -galactoside ]"
1785,-7.5,individual_ligand_1785,Castillene B
1788,-7.5,individual_ligand_1788,Castillene E
1789,-7.5,individual_ligand_1789,Catechin 3'-O-beta-D-glucopyranoside
1811,-7.5,individual_ligand_1811,Cerarvensin 7-O-glucoside
1824,-7.5,individual_ligand_1824,"Chalconaringenin 2',4'-di-O-glucoside"
182,-7.5,individual_ligand_182,"2',4'-Dihydroxy-3',6'-dimethoxychalcone"
1832,-7.5,individual_ligand_1832,Chapelieric acid methyl ester
1842,-7.5,individual_ligand_1842,Chrysin 7-rutinoside
185,-7.5,individual_ligand_185,"2',4'-Dihydroxy-4,6'-dimethoxydihydrochalcone"
1863,-7.5,individual_ligand_1863,Chrysosplenoside D
1864,-7.5,individual_ligand_1864,Chrysosplenoside E
1865,-7.5,individual_ligand_1865,"Chrysosplenoside H, Brickellin 2'-glucoside, 5,2'-Dihydroxy-3,6,7,4',5'-pentamethoxyflavone 2'-glucoside"
186,-7.5,individual_ligand_186,"2',4'-Dihydroxy-5,6-dimethoxy-2-phenylbenzofuran"
1885,-7.5,individual_ligand_1885,Clitoriacetal
1887,-7.5,individual_ligand_1887,Coatline A
189,-7.5,individual_ligand_189,"2',4'-Dihydroxy-6'-methoxy-3,4-methylenedioxydihydrochalcone"
1010,-7.4,individual_ligand_1010,"6-Hydroxykaempferol 6-methyl ether 3- (6""-p-coumaroylglucoside)"
1029,-7.4,individual_ligand_1029,"6-Hydroxytricetin 6,3',5'-trimethyl eter 7-alpha-L-arabinosyl- (1->6) -glucoside"
102,-7.4,individual_ligand_102,2-Methoxy-4-hydroxydihydrochalcone
105,-7.4,individual_ligand_105,2-Methoxypterocarpin
1097,-7.4,individual_ligand_1097,"6'-Hydroxy-2,3,4,5,2'-pentamethoxy-3',4'-methylenedioxychalcone"
1105,-7.4,individual_ligand_1105,"6"",6""-Dimethyl-5""-hydroxy-4"",5""-dihydropyrano [ 2"",3"":2',3' ] -4'-hydroxy-6'-methoxychalcone"
1118,-7.4,individual_ligand_1118,7-Hydroxy-2-methylisoflavone
1122,-7.4,individual_ligand_1122,"7-Hydroxy-3,5,6,3',4'-pentamethoxyflavone, Quercetagetin 3,5,6,3',4'-pentamethyl ether"
1124,-7.4,individual_ligand_1124,"7-Hydroxy-3,5,8-trimethoxy-3',4'-methylenedioxyflavone"
1131,-7.4,individual_ligand_1131,"7-Hydroxy-5,4'-dimethoxy-8-methylisoflavone 7-O-rhamnoside"
1159,-7.4,individual_ligand_1159,7-O-Methylstrobopinin
1164,-7.4,individual_ligand_1164,7-O-Prenylcryptostrobin
1187,-7.4,individual_ligand_1187,"7,3'-Dihydroxy-4'-methoxy-4-phenylcoumarin"
1196,-7.4,individual_ligand_1196,"7,3',4'-Trihydroxy-6-methoxyflavone 7-rhamnoside-3'-xyloside"
1216,-7.4,individual_ligand_1216,"7,4'-Dimethoxy-6-C-methylflavanone"
1228,-7.4,individual_ligand_1228,"8- (1,1-Dimethylallyl) galangin"
1252,-7.4,individual_ligand_1252,"8-Chloro-5,7,4'-trihydroxy-3-C-methylflavanone"
1255,-7.4,individual_ligand_1255,"8-Demethyllatifolin, 5,4'-Dihydroxy-3,7-dimethoxy-6-methylflavone"
1266,-7.4,individual_ligand_1266,"8-Hydroxyapigenin 8- (2""-sulfatoglucuronide)"
1268,-7.4,individual_ligand_1268,"8-Hydroxyapigenin 8- (6""-E-p-coumaroylglucoside)"
129,-7.4,individual_ligand_129,"2,5,7,4'-Tetrahydroxyflavanone 7-glucoside"
131,-7.4,individual_ligand_131,"2,8-Dihydroxy-3,4,9,10-tetramethoxypterocarpan"
1378,-7.4,individual_ligand_1378,Agecorynin D
1404,-7.4,individual_ligand_1404,Alnetin
1408,-7.4,individual_ligand_1408,Alopecurone G
1436,-7.4,individual_ligand_1436,Amorphigenol O-glucoside
144,-7.4,individual_ligand_144,"2'-Hydroxy-3',4',6'-trimethoxydihydrochalcone"
147,-7.4,individual_ligand_147,"2'-Hydroxy-4'-methoxy-5,6-methylenedioxy-2-phenylbenzofuran"
1486,-7.4,individual_ligand_1486,"Apigenin 7- (2""-acetyl-6""-methylglucuronide)"
1496,-7.4,individual_ligand_1496,"Apigenin 7- (3"",6""-di-p-coumarylglucoside)"
1497,-7.4,individual_ligand_1497,"Apigenin 7- (4""-Z-p-coumarylglucoside)"
1522,-7.4,individual_ligand_1522,"Apigenin 7-Glucuronosyl- (1->3) - [ 2""-p-coumaroylglucuronosyl) - (1->2) -glucuronide ]"
1526,-7.4,individual_ligand_1526,Apigenin 7-methyl ether 5-glucoside
1531,-7.4,individual_ligand_1531,Apigenin 7-rhamnoside
1535,-7.4,individual_ligand_1535,"Apigenin 7-rhamnosyl- (1->6) - (4""-E-p-methoxycinnamoylglucoside)"
1557,-7.4,individual_ligand_1557,Arcapillin
155,-7.4,individual_ligand_155,2'-Hydroxybiochanin A
1562,-7.4,individual_ligand_1562,Aromadendrin 3-methyl ether
164,-7.4,individual_ligand_164,2'-Methoxy-4'-hydroxydihydrochalcone
1659,-7.4,individual_ligand_1659,Belamcandin
1662,-7.4,individual_ligand_1662,"beta-Hydroxy-2',6'-dimethoxy-3',4'-methylenedioxydihydrochalcone"
166,-7.4,individual_ligand_166,2'-Methoxyhelikrausichalcone
168,-7.4,individual_ligand_168,2'-O-Methylcajanone
1693,-7.4,individual_ligand_1693,Brosimacutin D
1751,-7.4,individual_ligand_1751,Calyxin B
1776,-7.4,individual_ligand_1776,Carpelastofuran
1801,-7.4,individual_ligand_1801,Catechin-4-ol 3'-methyl ether 3-O-alpha-L-rhamnopyranoside
1815,-7.4,individual_ligand_1815,Ceratiolin
1819,-7.4,individual_ligand_1819,"Chalconaringenin 2'- (6""-p-coumarylglucoside)"
1845,-7.4,individual_ligand_1845,Chrysoeriol
1861,-7.4,individual_ligand_1861,Chrysosplenoside A
1,-7.4,individual_ligand_1,"(-) -4,11,12a-Trihydroxy-9-methoxyrotenone"
1012,-7.3,individual_ligand_1012,"6-Hydroxyluteolin 5,6,3',4'-tetramethyl eter 7-cellobioside"
1038,-7.3,individual_ligand_1038,6-Methoxykaempferol 3-galactoside
1040,-7.3,individual_ligand_1040,"6-Methoxykaempferol 3-methyl ether, 5,7,4'-Trihydroxy-3,6-dimethoxyflavone"
1071,-7.3,individual_ligand_1071,"6,7-Dihydroxy-5-methoxyflavone 7-glucoside"
1072,-7.3,individual_ligand_1072,"6,7-Dimethoxy-3',4'-methylenedioxyflavanone"
1073,-7.3,individual_ligand_1073,"6,7-Dimethoxy-3',4'-methylenedioxyisoflavanone"
1101,-7.3,individual_ligand_1101,"6'-O-Acetyltrifolirhizin, Trifolirhizin 6'-monoacetate"
1140,-7.3,individual_ligand_1140,"7-Hydroxy-6,2',4',5'-tetramethoxyisoflavone"
1145,-7.3,individual_ligand_1145,7-Hydroxyflavanone
1153,-7.3,individual_ligand_1153,7-Methoxypraecansone B
1156,-7.3,individual_ligand_1156,"7-O-Methylapigenin, Genkwanin, Gonkwanin"
1211,-7.3,individual_ligand_1211,"7,4'-Dihydroxy-8-prenylflavone"
121,-7.3,individual_ligand_121,"2,4-Dihydroxy-6,4'-dimethoxychalcone"
1222,-7.3,individual_ligand_1222,"7,8-Dimethoxyflavanone"
122,-7.3,individual_ligand_122,"2,4,2'-Trihydroxy-6"",6""-dimethyl-3'-prenylpyrano [ 2"",3"":4',5' ] chalcone"
1230,-7.3,individual_ligand_1230,"8-C-beta-D-Glucopyranosyldiosmetin 2""-O-rhamnoside"
1278,-7.3,individual_ligand_1278,"8-Hydroxyluteolin 4'-methyl ether 7- (6""'-acetylallosyl- (1->2) -glucoside"
1294,-7.3,individual_ligand_1294,"8-Prenylkaempferol 3-rhamnosyl- (1->3) - [ apiosyl- (1->6) -glucoside ], Noranhydroicaritin 3-rhamnosyl- (1->3) - [ apiosyl- (1->6) -glucoside ], 3,4',5,7-Tetrahydroxy-8- (3-methyl-2-butenyl) flavone 3-rhamnosyl- (1->3) - [ apiosyl- (1->6) -glucoside ]"
1298,-7.3,individual_ligand_1298,"8-Prenyllisetin, 8-Dimethylallyllisetin"
1302,-7.3,individual_ligand_1302,"8,2'-Dihydroxyflavone"
1371,-7.3,individual_ligand_1371,Agamanone
1387,-7.3,individual_ligand_1387,Agehoustin F
1419,-7.3,individual_ligand_1419,Ambanol
1424,-7.3,individual_ligand_1424,"Ambonin, Daidzein 7-O-apiosyl- (1->6) -glucoside"
1456,-7.3,individual_ligand_1456,Anhydroglycinol
1483,-7.3,individual_ligand_1483,"Apigenin 5,7-dimethyl ether 4'-galactoside"
1488,-7.3,individual_ligand_1488,"Apigenin 7- (2""-glucosyllactate)"
1492,-7.3,individual_ligand_1492,"Apigenin 7- (3""-acetyl-6""-E-p-coumaroylglucoside)"
149,-7.3,individual_ligand_149,2'-Hydroxy-5'-methoxybiochanin A
1518,-7.3,individual_ligand_1518,"Apigenin 7-glucuronide-4'- (2""'-E-p-coumaroylglucuronosyl) - (1->2) -glucuronide"
152,-7.3,individual_ligand_152,2'-Hydroxy-6'-methoxy-4'-prenyloxydihydrochalcone
1568,-7.3,individual_ligand_1568,"Aromadendrin 5,7-dimethyl ether"
1587,-7.3,individual_ligand_1587,Artocarpanone
1602,-7.3,individual_ligand_1602,Artonin F
1626,-7.3,individual_ligand_1626,Aureol
1628,-7.3,individual_ligand_1628,"Auriculin, Auriculatin 4'-methyl ether"
1645,-7.3,individual_ligand_1645,Barpisoflavone B
